Tweet;label;Tweet_Parsed;Prediksi;Prediksi_Score
udah coba pake handphone ini seharian tanpa ngecharge waw juga sama kemampuan konsumsi dayanya yg lebih kecil;baterai positif;udah coba handphone seharian tanpa charge waw kemampuan konsumsi dayanya lebih kecil;baterai negatif;baterai -1
boros banget baterainya, masa kudu ngecas berkali kali sih;baterai negatif;boros baterainya kudu ngecas berkali;baterai negatif;baterai -1
harus banget bawa powerbank kemana mana ini mah, baterainya ga oke;baterai negatif;harus bawa powerbank kemana mah baterainya tidak oke;baterai negatif;baterai -1
kenapa sih iphone tuh baterainya ga pernah bertahan lama;baterai negatif;tuh baterainya tidak bertahan;baterai negatif;baterai -1
baterai nya boros, ga cocok buat orang yang pekerjaannya banyak menggunakan handphone;baterai negatif;baterai boros tidak cocok orang pekerjaannya handphone;baterai negatif;baterai -1
ngecharge nya butuh watu lama ini iphone 11;baterai negatif;charge butuh watu;baterai positif;baterai 0
ga keren banget masa charger bawaannya belum fast charging;baterai negatif;tidak keren charger bawaannya belum cepat charger;baterai positif;baterai 1
yaelah belum fast charging, lama nih kalo ngecharge pake charger bawaan, masa kudu beli charger yg lain lagi sih;baterai negatif;yaelah belum cepat charger charge charger bawaan kudu beli charger;baterai positif;baterai 1
butuh waku lama buat ngecharge kalo pake charger bawaan, daya nya masih kecil;baterai negatif;butuh waku charge charger bawaan daya kecil;baterai negatif;baterai -1
udah mahal begini masa chargernya blm fast charging sih, kecewa dah;baterai negatif;udah mahal chargernya belum cepat charger kecewa;harga negatif,baterai positif;harga -2,baterai 1
kapasitas baterainya masih kalah dibanding produk lain yang lebih murah;baterai negatif;kapasitas baterainya kalah dibanding produk lebih murah;baterai negatif,harga positif;baterai -1,harga 0
